timestamp,tweet_text,username,all_hashtags,followers_count
2022-06-14 06:34:03+00:00,b'Our article explores carbon capture and storage (CCS) as a method of decarbonization. Including why pipeline leak detection is an important consideration.   Learn more about the key facts: https://t.co/tfEBdW0URt   #carbon #decarbonization #CCS\xc2\xa0@pipelinejournal https://t.co/EoTsxqunYv',b'AtmosInt',"['carbon', 'decarbonization', 'CCS']",728
2022-06-14 06:27:02+00:00,"b'C$41.75 - #FreeShipping | Shop now and enjoy great discounts!  High Carbon Steel Wire, 2B (Smooth) Finish, #SmallParts       \xf0\x9f\x91\x89 https://t.co/8BM2vriewO       #sharious  #canadianbestseller  #canada #usa #product #0080  #21280  #A228  #ASTM  #Carbon . https://t.co/RNSRVXefJw'",b'kanadianbest',"['FreeShipping', 'SmallParts', 'sharious', 'canadianbestseller', 'canada', 'usa', 'product', 'A228', 'ASTM', 'Carbon']",676
2022-06-14 06:23:57+00:00,b'RenewX 2022 makes a big pitch for Carbon Neutral economy  #carbon #carbonneutral #sustainability #renewableenergy #GlobalWarming #renewable #energy #energyasia #EnergyTransition #energytwitter   https://t.co/5ucr1cp0UT',b'energyasia',"['carbon', 'carbonneutral', 'sustainability', 'renewableenergy', 'GlobalWarming', 'renewable', 'energy', 'energyasia', 'EnergyTransition', 'energytwitter']",1071
2022-06-14 06:15:08+00:00,b'C$247.98 - #FreeShipping | These sales are too hot to handle  Monoprice 134199 in-Wall Speakers 6.5 Inch #Monoprice       \xf0\x9f\x91\x89 https://t.co/XucdAtiiWk       #sharious  #canadianbestseller  #canada #usa #product #134199  #3Way  #889028093825  #Alpha  #Carbon. https://t.co/2jy61rxfvM',b'kanadianbest',"['FreeShipping', 'Monoprice', 'sharious', 'canadianbestseller', 'canada', 'usa', 'product', '3Way', 'Alpha', 'Carbon']",676
2022-06-14 06:11:49+00:00,"b'@W_Lucht @imanid10t @ExtinctionR The \xe2\x80\x9cmass\xe2\x80\x9d of animas is irrelevant, like most points made by ExtinctionR about agriculture for which it knows nothing. What matters is the management of the animals and their impact on #soil #carbon. Get it? Not difficult. Here\xe2\x80\x99s a photo you won\xe2\x80\x99t understand (but others will). https://t.co/VON7aE5UPy'",b'soil4climate',"['soil', 'carbon']",6279
2022-06-14 06:00:44+00:00,"b'Great #carbon initiative! China is rolling out #lowcarbon transition bonds to help companies become #greener -companies in 8 sectors, including #electricpower #steelmaking #petrochemicals &amp; #civilaviation will issue bonds to fund #decarbonisation efforts.  https://t.co/t7a4QkD1tS https://t.co/QVgpFK1BZx'",b'GlobalGreenTag',"['carbon', 'lowcarbon', 'greener', 'electricpower', 'steelmaking', 'petrochemicals', 'civilaviation', 'decarbonisation']",1458
2022-06-14 06:00:29+00:00,"b""All our panel products are net #carbonnegative. Head to our website where you can find a host of facts and figures to help understand what we've done to achieve #carbon negativity and what using our products means to the environment. https://t.co/84BdHyJxEF #construction https://t.co/D3ZJYm0YYY""",b'WestFraserUK',"['carbonnegative', 'carbon', 'construction']",2539
2022-06-14 06:00:14+00:00,b'Did you see our last #RoSA #Webinar? \xf0\x9f\x90\x8f  It was all about #Carbon Auditing and it is available now on our YouTube channel \xf0\x9f\x91\x87  https://t.co/4ACz9yHAEo https://t.co/6SZp41I2LA',b'SheepAdvisers',"['RoSA', 'Webinar', 'Carbon']",225
2022-06-14 05:41:07+00:00,"b'Today\xe2\x80\x99s news: Poor results globally on reducing #carbon emissions. What next?#SaveSoil! Soil combats #ClimateChange by absorbing  #carbon from  the atmosphere.  Act now, spread the word and save the world. https://t.co/VF1RqACIna'",b'karuna_luthar',"['carbon', 'SaveSoil', 'ClimateChange', 'carbon']",93
2022-06-14 05:38:02+00:00,b'@CanadianBeave20 @LinnieRants The slippery slope to your personal #carbon RATION on your vaxport/DigiID https://t.co/UbzQmSOt8A',b'FriendsOScience',['carbon'],41453
2022-06-14 05:11:45+00:00,"b'The Price of New Casio G-Shock Mudmaster Carbon Core Guard Mens Watch GGB100-1A3 Watch. To get full details on the price, click the link below. https://t.co/PNYhSzSWPv Comment below what you like about this watch #carbon #casio #CasioWatchesFrom100to500 #CasioWatchestobuyas... https://t.co/7m86fT9K2l'",b'WatchPrizes_Org',"['carbon', 'casio', 'CasioWatchesFrom100to500', 'CasioWatchestobuyas']",16
2022-06-14 05:08:20+00:00,"b'At Carbon, we pride ourselves on exceptional service and expertise. Book a fitment and other services today! Visit our website https://t.co/ranj0NG07y #carbon #carbonretail #automotive #poweryourdrive https://t.co/xfsmbP1PK6'",b'carbon365ivory1',"['carbon', 'carbonretail', 'automotive', 'poweryourdrive']",7
2022-06-14 05:07:51+00:00,"b'A London-based start-up, Seabound, is currently prototyping #carbon capture equipment that connects to #ship\xe2\x80\x99s exhaust to cut up to 95% of carbon #emissions. Read further here: https://t.co/vhYlJx5U4A  #shipping #decarbonisation #startup #technology'",b'VerifaviaMarine',"['carbon', 'ship', 'emissions', 'shipping', 'decarbonisation', 'startup', 'technology']",1048
2022-06-14 05:07:32+00:00,"b'At Carbon, we pride ourselves on exceptional service and expertise. Book a fitment and other services today! Visit our website https://t.co/Ni5UP6HiS8 #carbon #carbonretail #automotive #poweryourdrive https://t.co/JMA6gl2VfB'",b'carbon365sudan',"['carbon', 'carbonretail', 'automotive', 'poweryourdrive']",2
2022-06-14 05:06:47+00:00,"b'At Carbon, we pride ourselves on exceptional service and expertise. Book a fitment and other services today! Visit our website https://t.co/HCJx02gCDq #carbon #carbonretail #automotive #poweryourdrive https://t.co/884XmSNyy3'",b'carbon365zambia',"['carbon', 'carbonretail', 'automotive', 'poweryourdrive']",72
2022-06-14 05:05:56+00:00,"b'At Carbon, we pride ourselves on exceptional service and expertise. Book a fitment and other services today! Visit our website https://t.co/sbmuYNFfxe #carbon #carbonretail #automotive #poweryourdrive https://t.co/jF4JVgQL3N'",b'carbon365malawi',"['carbon', 'carbonretail', 'automotive', 'poweryourdrive']",36
2022-06-14 05:04:21+00:00,"b'At Carbon, we pride ourselves on exceptional service and expertise. Book a fitment and other services today! Visit our website https://t.co/L4bzzJaS8y #carbon #carbonretail #automotive #poweryourdrive https://t.co/xbPjcVfc0H'",b'Carbon365nigeri',"['carbon', 'carbonretail', 'automotive', 'poweryourdrive']",112
2022-06-14 04:37:28+00:00,"b'Most of the World Breathes Unsafe Air, Taking More Than 2 Years Off Global Life Expectancy: growing evidence shows #airpollution\xe2\x80\x94even at very low levels\xe2\x80\x94hurts human #health, via @UChiAir at @UChicago #news https://t.co/xxXPgNIGsQ #carbon #C02  #ClimateCrisis #ClimateChange'",b'EnviroEdgeNews',"['airpollution', 'health', 'news', 'carbon', 'C02', 'ClimateCrisis', 'ClimateChange']",5126
2022-06-14 04:30:00+00:00,b'LanzaTech says it has found a way to produce a key ingredient of plastic (MEG) from carbon emissions captured at steel mills or gasified waste biomass plants using specially-engineered carbon-eating bacterium #science #research #carbon https://t.co/1DdlQYB09b',b'tcemagazine',"['science', 'research', 'carbon']",12363
2022-06-14 04:23:35+00:00,b'#Healthtech #Unicorn #Carbon #Health Lays Off 250 #Employees #forbes https://t.co/W8AENYkLUN #bayarea #tech #us #blackstone #blackrock #mkt',b'BoilerRoomTweet',"['Healthtech', 'Unicorn', 'Carbon', 'Health', 'Employees', 'forbes', 'bayarea', 'tech', 'us', 'blackstone', 'blackrock', 'mkt']",1510
2022-06-14 04:07:11+00:00,b'A quick look \xf0\x9f\x91\x80 at #Carbon\xe2\x80\x99s Permissionless Listing   \xf0\x9f\x94\xb9 Unrestricted access \xe2\x80\x94 You have FULL control over what token\xe2\x80\x99s listed \xf0\x9f\x94\xb9 Greater access to cross-chain markets \xe2\x80\x94 Power is YOURS to determine which markets are added \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/VT17goOibi',b'0xcarbon',['Carbon'],4504
2022-06-14 03:38:14+00:00,"b'Shifting away from ESG ratings could boost the adoption of weighted average #carbon intensity metric among asset managers. Fundamentally, they must use high-quality data and transparent methodologies to defend investment decisions. The proposals are open for comment until 17/6.'",b'ACXCHG',['carbon'],845
2022-06-14 03:30:21+00:00,"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @NatashaSpears16 #poshmark #fashion #style #shopmycloset #jayfranco #carbon #karlibuxton: https://t.co/45UIwJ9H10 https://t.co/9OcmlClywY""",b'mapa453',"['poshmark', 'fashion', 'style', 'shopmycloset', 'jayfranco', 'carbon', 'karlibuxton']",3
2022-06-14 03:27:47+00:00,"b'The highly recommended Carbon Capture, Utilisation and Storage (CCUS) online masterclass will be commencing live on 5 July. Find out how, where &amp;  why CCUS is happening now &amp; how it could grow in future.    https://t.co/di4Xe3s612  @infocusint #carbon #EnergyStorage #oil #gas https://t.co/QgQR6NvhIx'",b'industryevents',"['carbon', 'EnergyStorage', 'oil', 'gas']",106
2022-06-14 03:15:19+00:00,b'Trade Tracks Pakistan buyers of chemicals  we are looking for suppliers of #chemicals   #zinc chloride  #zinc #oxide #ACRYLAMIDE 98% #AMMONIUM #BICARBONATE #CARBON #BLACK #CAUSTIC SODA FLAKES #CHROMIC #ACID  #DICYANDIAMIDE  #Ethylene #glycol  #DIPENTENE #Melamine  #indigo',b'TradeTracksPak',"['chemicals', 'zinc', 'zinc', 'oxide', 'ACRYLAMIDE', 'AMMONIUM', 'BICARBONATE', 'CARBON', 'BLACK', 'CAUSTIC', 'CHROMIC', 'ACID', 'DICYANDIAMIDE', 'Ethylene', 'glycol', 'DIPENTENE', 'Melamine', 'indigo']",38
2022-06-14 03:15:05+00:00,b'Trade Tracks is buyer of CHEMICAL  we are looking for suppliers of #chemicals   #zinc chloride  #zinc #oxide #ACRYLAMIDE 98% #AMMONIUM #BICARBONATE #CARBON #BLACK #CAUSTIC SODA FLAKES #CHROMIC #ACID  #DICYANDIAMIDE  #Ethylene #glycol  #DIPENTENE #Melamine  #coal #urea  #indigo',b'TradeTracksPak',"['chemicals', 'zinc', 'zinc', 'oxide', 'ACRYLAMIDE', 'AMMONIUM', 'BICARBONATE', 'CARBON', 'BLACK', 'CAUSTIC', 'CHROMIC', 'ACID', 'DICYANDIAMIDE', 'Ethylene', 'glycol', 'DIPENTENE', 'Melamine', 'coal', 'urea', 'indigo']",38
